,EVENT.DATE,INJURY.SEVERITY,AIRCRAFT.DAMAGE,AIRCRAFT.CATEGORY,MODEL,NUMBER.OF.ENGINES,ENGINE.TYPE,FAR.DESCRIPTION,AIR.CARRIER,TOTAL.FATAL.INJURIES,TOTAL.SERIOUS.INJURIES,WEATHER.CONDITION,BROAD.PHASE.OF.FLIGHT
648,1982,Non-Fatal,Destroyed,Helicopter,SA316B,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Mammoth Heli-ski Tioyabe Corp.,0.0,4.0,VMC,Climb
677,1982,Incident,Minor,Airplane,65-88,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Basler Airlines,0.0,0.0,VMC,Approach
693,1982,Non-Fatal,Substantial,Airplane,310Q,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Comet Airways Incorporated,0.0,0.0,VMC,Landing
719,1982,Incident,Minor,Airplane,SA226TC,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,"Britt Airways, Inc.",0.0,0.0,VMC,Takeoff
760,1982,Incident,Minor,Airplane,402B,2.0,Reciprocating,Part 135: Air Taxi & Commuter,"Superior Air Service, Inc.",0.0,0.0,IMC,Approach
796,1982,Incident,Minor,Airplane,727-200,3.0,Turbo Fan,Part 121: Air Carrier,United Airlines,0.0,0.0,IMC,Landing
802,1982,Non-Fatal,Substantial,Airplane,206,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Western Yukon Air,0.0,0.0,IMC,Cruise
813,1982,Fatal(3),Destroyed,Helicopter,369D,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,"Tundra Copters, Inc.",3.0,0.0,VMC,Cruise
821,1982,Non-Fatal,Substantial,Airplane,PA-32,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Harbor Air Service,0.0,0.0,VMC,Takeoff
890,1982,Incident,Minor,Airplane,BE-99,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Wheeler Airlines,0.0,0.0,VMC,Takeoff
901,1982,Non-Fatal,Substantial,Airplane,727-200,3.0,Turbo Fan,Part 121: Air Carrier,"Continental Airlines, Inc.",0.0,0.0,VMC,Landing
905,1982,Non-Fatal,Substantial,Helicopter,500C,1.0,Turbo Prop,Part 135: Air Taxi & Commuter,Anthony B. Reece,0.0,0.0,VMC,Landing
908,1982,Incident,Minor,Airplane,L-1011,3.0,Turbo Fan,Part 121: Air Carrier,"Eastern Airlines, Inc.",0.0,0.0,VMC,Landing
926,1982,Fatal(2),Destroyed,Helicopter,212,2.0,Turbo Shaft,Part 135: Air Taxi & Commuter,"Rotor-aids, Inc.",2.0,1.0,IMC,Cruise
950,1982,Fatal(1),Minor,Helicopter,AS350,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,"Bauer Helicopter, Inc",1.0,0.0,VMC,Standing
999,1982,Fatal(2),Destroyed,Airplane,E18S,2.0,Reciprocating,Part 135: Air Taxi & Commuter,"Island Airlines Hawaii, Ltd.",2.0,0.0,VMC,Climb
1020,1982,Non-Fatal,Substantial,Airplane,207,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Richard K. Armstrong,0.0,0.0,IMC,Takeoff
1022,1982,Incident,Minor,Airplane,PA-31-350,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Huntsville Aviation,0.0,0.0,VMC,Takeoff
1099,1982,Non-Fatal,Substantial,Airplane,402A,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Capital Aviation Corporation,0.0,0.0,VMC,Landing
1128,1982,Non-Fatal,Substantial,Airplane,PA-28R-200,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Gillis Aviation,0.0,0.0,VMC,Takeoff
1171,1982,Non-Fatal,Substantial,Airplane,172P,1.0,Reciprocating,Part 135: Air Taxi & Commuter,New England Aviation,0.0,2.0,VMC,Approach
1172,1982,Incident,Minor,Airplane,402B,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Trans Mo Airlines,0.0,0.0,VMC,Taxi
1184,1982,Non-Fatal,Substantial,Airplane,PA-32RT-300,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Modern Flying Serv. Inc.,0.0,0.0,VMC,Taxi
1211,1982,Non-Fatal,Substantial,Helicopter,206L-1,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,"Pumpkin Air, Inc.",0.0,0.0,VMC,Cruise
1216,1982,Non-Fatal,Destroyed,Airplane,DHC-6-200,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Gifford Aviation,0.0,8.0,VMC,Approach
1250,1982,Incident,Minor,Airplane,G-159C,2.0,Turbo Prop,Part 121: Air Carrier,"U.s. Aviation, Inc./air U.s.,",0.0,0.0,VMC,Landing
1306,1982,Incident,Minor,Airplane,404,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Sunbird Airlines,0.0,0.0,VMC,Landing
1333,1982,Non-Fatal,Substantial,Airplane,310R,2.0,Reciprocating,Part 135: Air Taxi & Commuter,"Business Aviation, Incorporati",0.0,0.0,VMC,Landing
1343,1982,Non-Fatal,Substantial,Airplane,DC10-10,3.0,Turbo Fan,Part 121: Air Carrier,United Airlines,0.0,0.0,VMC,Taxi
1359,1982,Non-Fatal,Substantial,Airplane,U206,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Robert F. Stanford,0.0,0.0,VMC,Approach
1360,1982,Non-Fatal,Minor,Airplane,SA226-TC,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Sunaire,0.0,1.0,VMC,Standing
1391,1982,Non-Fatal,Destroyed,Helicopter,206L-1,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Houston Helicopters,0.0,0.0,VMC,Landing
1427,1982,Incident,Minor,Airplane,PA-31-325,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Clarence Roberts/roberts Avia.,0.0,0.0,VMC,Cruise
1451,1982,Non-Fatal,Substantial,Airplane,65-90,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,"Midwest Piper Flight, Inc",0.0,0.0,VMC,Takeoff
1516,1982,Non-Fatal,Destroyed,Helicopter,AS350D,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,"Kentucky Helicopters, Inc.",0.0,1.0,VMC,Maneuvering
1570,1982,Non-Fatal,Destroyed,Airplane,A36,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Grand Strand Aviation Inc,0.0,0.0,VMC,Descent
1581,1982,Incident,Minor,Airplane,DHC-6-100,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,"Sea Airmotive, Inc.",0.0,0.0,VMC,Cruise
1598,1982,Non-Fatal,Substantial,Airplane,PA-32-300,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Armstrong Air Service,0.0,0.0,VMC,Cruise
1600,1982,Non-Fatal,Destroyed,Airplane,H-18,2.0,Reciprocating,Part 135: Air Taxi & Commuter,West States Air Taxi,0.0,0.0,VMC,Takeoff
1603,1982,Fatal(1),Destroyed,Airplane,185F,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Alaska North Flying Service,1.0,0.0,VMC,Standing
1659,1982,Non-Fatal,Destroyed,Helicopter,SA-315B,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,"Hoskings Helicopter, Inc.",0.0,3.0,VMC,Maneuvering
1681,1982,Fatal(3),Destroyed,Helicopter,SA-316B,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,"Continental Helicopters, Inc.",3.0,0.0,VMC,Maneuvering
1689,1982,Non-Fatal,Substantial,Helicopter,SA-330J,2.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Petroleum Helicopters,0.0,0.0,VMC,Climb
1756,1982,Non-Fatal,Substantial,Airplane,PA-32-300,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Layton A. Bennet,0.0,0.0,VMC,Cruise
1763,1982,Non-Fatal,Substantial,Airplane,E18S,2.0,Reciprocating,Part 135: Air Taxi & Commuter,"Coker Airfreight, Inc.",0.0,0.0,VMC,Landing
1764,1982,Non-Fatal,Substantial,Airplane,340,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Colorado Corporate Charters,0.0,0.0,VMC,Approach
1796,1982,Non-Fatal,Substantial,Airplane,BN-2A,2.0,Reciprocating,Part 135: Air Taxi & Commuter,"Munz Northern Airlines, Inc.",0.0,0.0,VMC,Takeoff
1814,1982,Non-Fatal,Substantial,Helicopter,206B,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,"Grand Canyon Helicopters, Inc.",0.0,0.0,VMC,Cruise
1833,1982,Incident,Minor,Airplane,DC-9-31,2.0,Turbo Fan,Part 121: Air Carrier,"Republic Airlines West, Inc.",0.0,0.0,VMC,Takeoff
1856,1982,Non-Fatal,Destroyed,Helicopter,SA316B,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Hawkins And Powers Helicopters,0.0,5.0,VMC,Approach
1864,1982,Non-Fatal,Destroyed,Airplane,PA-32-300,1.0,Reciprocating,Part 135: Air Taxi & Commuter,L.a.b. Flying Service,0.0,0.0,VMC,Maneuvering
1892,1982,Non-Fatal,Substantial,Airplane,402B,2.0,Reciprocating,Part 135: Air Taxi & Commuter,"Kitty Hawk Airways, Inc.",0.0,2.0,VMC,Approach
1893,1982,Non-Fatal,Substantial,Airplane,310,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Seward Peninsula Flying Svc,0.0,0.0,VMC,Takeoff
1905,1982,Non-Fatal,Substantial,Helicopter,212,2.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Kenai Air Alaska Inc.,0.0,0.0,VMC,Cruise
1942,1982,Fatal(4),Destroyed,Airplane,172F,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Hell's Canyon Navigation Compa,4.0,0.0,VMC,Go-around
1954,1982,Non-Fatal,Substantial,Helicopter,206B,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Air Logistics,0.0,0.0,VMC,Cruise
1969,1982,Non-Fatal,Minor,Airplane,DC-10-10,3.0,Turbo Fan,Part 121: Air Carrier,United Airlines,0.0,7.0,VMC,Cruise
2014,1982,Non-Fatal,Destroyed,Airplane,T337H,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Agritill Leasing Co.,0.0,2.0,VMC,Maneuvering
