,EVENT.DATE,INJURY.SEVERITY,AIRCRAFT.DAMAGE,AIRCRAFT.CATEGORY,MODEL,NUMBER.OF.ENGINES,ENGINE.TYPE,FAR.DESCRIPTION,AIR.CARRIER,TOTAL.FATAL.INJURIES,TOTAL.SERIOUS.INJURIES,WEATHER.CONDITION,BROAD.PHASE.OF.FLIGHT
2838,1982,Fatal(1),Minor,Helicopter,222,2.0,Turbo Shaft,Part 135: Air Taxi & Commuter,"Omniflight Airways, Inc.",1.0,0.0,VMC,Standing
2861,1982,Non-Fatal,Substantial,Airplane,U206,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Cyril D. Hetherington,0.0,0.0,VMC,Landing
2896,1982,Non-Fatal,Substantial,Airplane,207,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Air Freight Express,0.0,0.0,VMC,Cruise
2914,1982,Non-Fatal,Substantial,Airplane,76,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Altair,0.0,0.0,VMC,Cruise
2916,1982,Incident,Minor,Helicopter,214ST,2.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Petroleum Helicopters Inc.,0.0,0.0,VMC,Cruise
2920,1982,Incident,Minor,Airplane,PA31-350,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Southcentral Air Inc.,0.0,0.0,VMC,Approach
2978,1982,Non-Fatal,Substantial,Airplane,PA-31-310,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Midwest Air Svcs. Inc.,0.0,0.0,VMC,Descent
2998,1982,Non-Fatal,Substantial,Airplane,TU206G,1.0,Reciprocating,Part 135: Air Taxi & Commuter,"Cowboy Air Service, Inc.",0.0,0.0,VMC,Landing
3005,1982,Non-Fatal,Substantial,Airplane,206,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Linn Air Service,0.0,0.0,VMC,Takeoff
3006,1982,Non-Fatal,Substantial,Airplane,58,2.0,Reciprocating,Part 135: Air Taxi & Commuter,"Grand Strand Aviation, Inc.",0.0,0.0,VMC,Cruise
3054,1982,Non-Fatal,Substantial,Airplane,SA-226TC,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Borrego Springs Airline,0.0,0.0,VMC,Standing
3074,1982,Non-Fatal,Substantial,Airplane,SA227-AC,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Miostates Airlines,0.0,0.0,VMC,Taxi
3076,1982,Incident,Minor,Airplane,DC-9-30,2.0,Turbo Fan,Part 121: Air Carrier,Texas International,0.0,0.0,VMC,Takeoff
3081,1982,Fatal(3),Destroyed,Helicopter,206B,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,"Petroleum Helicopters, Inc.",3.0,0.0,VMC,Cruise
3082,1982,Fatal(3),Destroyed,Helicopter,206B,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Air Logistics,3.0,0.0,VMC,Cruise
3094,1982,Fatal(8),Destroyed,Airplane,PA-31,2.0,Reciprocating,Part 135: Air Taxi & Commuter,"Carib Air Service, Inc.",8.0,0.0,UNK,Unknown
3141,1982,Incident,Minor,Airplane,B99,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Air Kentucky Airline,0.0,0.0,VMC,Landing
3145,1982,Non-Fatal,Substantial,Airplane,PA-30,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Raf Aviation,0.0,0.0,VMC,Taxi
